"method","endpoint","pathway","p_value","q_value","elapsed_seconds","n_genes"
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_FATTY_ACID_METABOLISM",0.040959040959041,0.0692855531565209,1.18584799766541,136
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_G2M_CHECKPOINT",0.993006993006993,1,1.18584799766541,187
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_GLYCOLYSIS",4.87845239609227e-08,4.87845239609227e-07,1.18584799766541,180
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_HEDGEHOG_SIGNALING",0.835164835164835,0.907787864309603,1.18584799766541,28
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_HEME_METABOLISM",0.0989010989010989,0.142714428428714,1.18584799766541,157
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_HYPOXIA",7.02421245721691e-12,3.51210622860845e-10,1.18584799766541,183
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_IL2_STAT5_SIGNALING",0.000709812531060426,0.00221816415956383,1.18584799766541,172
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.433566433566434,0.504147015774923,1.18584799766541,70
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_INFLAMMATORY_RESPONSE",0.117882117882118,0.163725163725164,1.18584799766541,148
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.121878121878122,0.164700164700165,1.18584799766541,92
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0999000999000999,0.142714428428714,1.18584799766541,177
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_KRAS_SIGNALING_DN",0.637362637362637,0.708180708180708,1.18584799766541,89
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_KRAS_SIGNALING_UP",0.00919170650243912,0.0191493885467482,1.18584799766541,164
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_MITOTIC_SPINDLE",0.532467532467532,0.605076741440378,1.18584799766541,195
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_MTORC1_SIGNALING",0.00238639132654291,0.00662886479595253,1.18584799766541,195
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_MYC_TARGETS_V1",5.32145436497736e-07,3.32590897811085e-06,1.18584799766541,194
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_MYC_TARGETS_V2",0.962037962037962,1,1.18584799766541,57
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_MYOGENESIS",0.000581590306914199,0.00193863435638066,1.18584799766541,171
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_NOTCH_SIGNALING",0.201798201798202,0.252247752247752,1.18584799766541,32
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.39348374952859e-07,1.70963124966328e-06,1.18584799766541,200
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_P53_PATHWAY",1.98875638027034e-10,4.97189095067585e-09,1.18584799766541,188
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_PANCREAS_BETA_CELLS",0.2997002997003,0.365488170366219,1.18584799766541,21
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_PEROXISOME",0.0649350649350649,0.0983864620228257,1.18584799766541,87
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.187812187812188,0.240784856169472,1.18584799766541,94
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_PROTEIN_SECRETION",0.12987012987013,0.170881749829118,1.18584799766541,95
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000966438317610918,0.00284246564003211,1.18584799766541,47
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_SPERMATOGENESIS",1,1,1.18584799766541,63
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_TGF_BETA_SIGNALING",0.035964035964036,0.0666000666000666,1.18584799766541,52
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_TNFA_SIGNALING_VIA_NFKB",7.60289802259483e-08,6.33574835216236e-07,1.18584799766541,185
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.035964035964036,0.0666000666000666,1.18584799766541,107
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_UV_RESPONSE_DN",0.0214780651523614,0.0429561303047229,1.18584799766541,140
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_UV_RESPONSE_UP",0.00717589672502863,0.0163088561932469,1.18584799766541,137
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.365634365634366,0.435279006707578,1.18584799766541,38
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_XENOBIOTIC_METABOLISM",0.00353331985160324,0.009298210135798,1.18584799766541,156
"STpathway_dCov","absolute","HALLMARK_ADIPOGENESIS",0.001,0.001,550.958696126938,191
"STpathway_dCov","absolute","HALLMARK_ALLOGRAFT_REJECTION",0.001,0.001,550.958696126938,138
"STpathway_dCov","absolute","HALLMARK_ANDROGEN_RESPONSE",0.001,0.001,550.958696126938,94
"STpathway_dCov","absolute","HALLMARK_ANGIOGENESIS",0.001,0.001,550.958696126938,30
"STpathway_dCov","absolute","HALLMARK_APICAL_JUNCTION",0.001,0.001,550.958696126938,171
"STpathway_dCov","absolute","HALLMARK_APICAL_SURFACE",0.001,0.001,550.958696126938,31
"STpathway_dCov","absolute","HALLMARK_APOPTOSIS",0.001,0.001,550.958696126938,145
"STpathway_dCov","absolute","HALLMARK_BILE_ACID_METABOLISM",0.001,0.001,550.958696126938,79
"STpathway_dCov","absolute","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.001,0.001,550.958696126938,70
"STpathway_dCov","absolute","HALLMARK_COAGULATION",0.001,0.001,550.958696126938,100
"STpathway_dCov","absolute","HALLMARK_COMPLEMENT",0.001,0.001,550.958696126938,166
"STpathway_dCov","absolute","HALLMARK_DNA_REPAIR",0.001,0.001,550.958696126938,146
"STpathway_dCov","absolute","HALLMARK_E2F_TARGETS",0.001,0.001,550.958696126938,195
"STpathway_dCov","absolute","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.001,0.001,550.958696126938,191
"STpathway_dCov","absolute","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.001,0.001,550.958696126938,179
"STpathway_dCov","absolute","HALLMARK_ESTROGEN_RESPONSE_LATE",0.001,0.001,550.958696126938,172
"STpathway_dCov","absolute","HALLMARK_FATTY_ACID_METABOLISM",0.001,0.001,550.958696126938,136
"STpathway_dCov","absolute","HALLMARK_G2M_CHECKPOINT",0.001,0.001,550.958696126938,187
"STpathway_dCov","absolute","HALLMARK_GLYCOLYSIS",0.001,0.001,550.958696126938,180
"STpathway_dCov","absolute","HALLMARK_HEDGEHOG_SIGNALING",0.001,0.001,550.958696126938,28
"STpathway_dCov","absolute","HALLMARK_HEME_METABOLISM",0.001,0.001,550.958696126938,157
"STpathway_dCov","absolute","HALLMARK_HYPOXIA",0.001,0.001,550.958696126938,183
"STpathway_dCov","absolute","HALLMARK_IL2_STAT5_SIGNALING",0.001,0.001,550.958696126938,172
"STpathway_dCov","absolute","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.001,0.001,550.958696126938,70
"STpathway_dCov","absolute","HALLMARK_INFLAMMATORY_RESPONSE",0.001,0.001,550.958696126938,148
"STpathway_dCov","absolute","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.001,0.001,550.958696126938,92
"STpathway_dCov","absolute","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.001,0.001,550.958696126938,177
"STpathway_dCov","absolute","HALLMARK_KRAS_SIGNALING_DN",0.001,0.001,550.958696126938,89
"STpathway_dCov","absolute","HALLMARK_KRAS_SIGNALING_UP",0.001,0.001,550.958696126938,164
"STpathway_dCov","absolute","HALLMARK_MITOTIC_SPINDLE",0.001,0.001,550.958696126938,195
"STpathway_dCov","absolute","HALLMARK_MTORC1_SIGNALING",0.001,0.001,550.958696126938,195
"STpathway_dCov","absolute","HALLMARK_MYC_TARGETS_V1",0.001,0.001,550.958696126938,194
"STpathway_dCov","absolute","HALLMARK_MYC_TARGETS_V2",0.001,0.001,550.958696126938,57
"STpathway_dCov","absolute","HALLMARK_MYOGENESIS",0.001,0.001,550.958696126938,171
"STpathway_dCov","absolute","HALLMARK_NOTCH_SIGNALING",0.001,0.001,550.958696126938,32
"STpathway_dCov","absolute","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.001,0.001,550.958696126938,200
"STpathway_dCov","absolute","HALLMARK_P53_PATHWAY",0.001,0.001,550.958696126938,188
"STpathway_dCov","absolute","HALLMARK_PANCREAS_BETA_CELLS",0.001,0.001,550.958696126938,21
"STpathway_dCov","absolute","HALLMARK_PEROXISOME",0.001,0.001,550.958696126938,87
"STpathway_dCov","absolute","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.001,0.001,550.958696126938,94
"STpathway_dCov","absolute","HALLMARK_PROTEIN_SECRETION",0.001,0.001,550.958696126938,95
"STpathway_dCov","absolute","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.001,0.001,550.958696126938,47
"STpathway_dCov","absolute","HALLMARK_SPERMATOGENESIS",0.001,0.001,550.958696126938,63
"STpathway_dCov","absolute","HALLMARK_TGF_BETA_SIGNALING",0.001,0.001,550.958696126938,52
"STpathway_dCov","absolute","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.001,0.001,550.958696126938,185
"STpathway_dCov","absolute","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.001,0.001,550.958696126938,107
"STpathway_dCov","absolute","HALLMARK_UV_RESPONSE_DN",0.001,0.001,550.958696126938,140
"STpathway_dCov","absolute","HALLMARK_UV_RESPONSE_UP",0.001,0.001,550.958696126938,137
"STpathway_dCov","absolute","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.001,0.001,550.958696126938,38
"STpathway_dCov","absolute","HALLMARK_XENOBIOTIC_METABOLISM",0.001,0.001,550.958696126938,156
"spatialSVP_matched_none","competitive_score","HALLMARK_ADIPOGENESIS",0.966,1,78.2078137397766,191
"spatialSVP_matched_none","competitive_score","HALLMARK_ALLOGRAFT_REJECTION",1,1,78.2078137397766,138
"spatialSVP_matched_none","competitive_score","HALLMARK_ANDROGEN_RESPONSE",0.313,0.771428571428571,78.2078137397766,94
"spatialSVP_matched_none","competitive_score","HALLMARK_ANGIOGENESIS",0.756,1,78.2078137397766,30
"spatialSVP_matched_none","competitive_score","HALLMARK_APICAL_JUNCTION",0.982,1,78.2078137397766,171
"spatialSVP_matched_none","competitive_score","HALLMARK_APICAL_SURFACE",0.868,1,78.2078137397766,31
"spatialSVP_matched_none","competitive_score","HALLMARK_APOPTOSIS",0.855,1,78.2078137397766,145
"spatialSVP_matched_none","competitive_score","HALLMARK_BILE_ACID_METABOLISM",0.208,0.547368421052632,78.2078137397766,79
"spatialSVP_matched_none","competitive_score","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.001,0.01,78.2078137397766,70
"spatialSVP_matched_none","competitive_score","HALLMARK_COAGULATION",0.806,1,78.2078137397766,100
"spatialSVP_matched_none","competitive_score","HALLMARK_COMPLEMENT",1,1,78.2078137397766,166
"spatialSVP_matched_none","competitive_score","HALLMARK_DNA_REPAIR",0.027,0.122727272727273,78.2078137397766,146
