"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots","replicate","scenario","tier","planted","signal_R2_removed","signal_R2_library"
"set07",0.189549245227368,0.11275567301428,0.0567619395677376,1.35290606342733,999,0.095,0.1425,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set08",0.234729205416136,0.14315870259714,0.0574982736286216,1.59257829914068,999,0.043,0.0942857142857143,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set09",0.33202992261567,0.241923138416153,0.0559677322739184,1.60997740195217,999,0.055,0.0942857142857143,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set10",0.0297718477747374,0.0613803261695753,0.044425084038954,-0.711500700080209,999,0.771,0.771,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set11",0.235753722825286,0.142634439889903,0.0557125030352621,1.67142522525769,999,0.053,0.0942857142857143,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set12",0.282203494913304,0.227226204229121,0.0542153291741804,1.01405435550442,999,0.169,0.2028,225,1,"coherent_strong","pcs1",FALSE,NA,NA
"set01",0.796371816238008,0.0507280457643953,0.0451526949311085,16.5138265082799,999,0.001,0.004,225,1,"coherent_strong","pcs3",TRUE,0.54009296230062,0.00114411542283221
"set02",0.723860736726145,0.0963598825608646,0.0480221951143153,13.0668923540778,999,0.001,0.004,225,1,"coherent_strong","pcs3",TRUE,0.927707347410871,0.0102566451915779
"set03",0.813909175264908,0.169716659307404,0.0495890538028667,12.9906192305743,999,0.001,0.004,225,1,"coherent_strong","pcs3",TRUE,0.972819963659197,0.142678474363182
"set04",0.0267312017392067,0.0344767304014118,0.0444510912252739,-0.174248335613439,999,0.549,0.732,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set05",0.0719935393082803,0.0962982587931303,0.0520884345686254,-0.466604913089279,999,0.691,0.753818181818182,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set06",0.182128742725207,0.161451363514554,0.0523042682137351,0.395328716313514,999,0.353,0.5295,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set07",0.127508024402018,0.0587568266448412,0.0468665222233175,1.46695753163803,999,0.101,0.232,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set08",0.159297152423693,0.0835832720700894,0.0494081308378442,1.53241741935338,999,0.087,0.232,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set09",0.236084006177093,0.181463479698153,0.0521770120379127,1.04683124513247,999,0.146,0.250285714285714,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set10",-0.0401374805947855,0.0206552565542921,0.043032704872863,-1.41271010801402,999,0.92,0.92,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set11",0.150366353643488,0.0853566575808283,0.0469597749670533,1.38436983797878,999,0.116,0.232,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set12",0.145963387652743,0.170530871157262,0.0504188708432407,-0.487267626062132,999,0.673,0.753818181818182,225,1,"coherent_strong","pcs3",FALSE,NA,NA
"set01",0.0209129965296662,-0.0263295848807367,0.0338671462444732,1.39493835912179,999,0.086,0.516,225,1,"coherent_strong","pcs10",TRUE,0.942145869974663,0.00114411542283221
"set02",0.0363348827430099,-0.0234633383550184,0.0335596048879339,1.78185116593933,999,0.047,0.516,225,1,"coherent_strong","pcs10",TRUE,0.974597447848912,0.0102566451915779
"set03",-0.0164241735761841,-0.024716215814721,0.0312808421712609,0.26508372738619,999,0.396,0.585333333333333,225,1,"coherent_strong","pcs10",TRUE,0.987355886017448,0.142678474363182
"set04",-0.00978591461156531,-0.0242365207816072,0.0331316951133054,0.436156560074063,999,0.337,0.585333333333333,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set05",-0.0224456962651399,-0.027186755218962,0.0335562950943461,0.141286722520834,999,0.439,0.585333333333333,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set06",-0.0384651984067934,-0.0257082858066074,0.0353677619551647,-0.360693238558826,999,0.648,0.648,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set07",0.0131907732885893,-0.0258325309053945,0.03276972559779,1.19083402384716,999,0.144,0.576,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set08",-0.0215864831718766,-0.0267205370200798,0.0314974667734562,0.162998944808152,999,0.436,0.585333333333333,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set09",0.00675997745081677,-0.0242623252802154,0.0350537724845134,0.884991843452449,999,0.203,0.585333333333333,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set10",-0.0367598133325466,-0.0230452001889073,0.035826167582821,-0.38280994225616,999,0.648,0.648,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set11",-0.0360144443015464,-0.0270016878051313,0.0357317886708897,-0.25223356657087,999,0.607,0.648,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set12",-0.0102462639410728,-0.0232493396569616,0.0339896309883822,0.382560073109746,999,0.347,0.585333333333333,225,1,"coherent_strong","pcs10",FALSE,NA,NA
"set01",0.776975896168865,0.186483818951954,0.133762874164056,4.4144691186337,999,0.001,0.004,225,2,"coherent_weak","none",TRUE,0,0.000127458753882981
"set02",0.818142519512221,0.210185842430565,0.106781624525479,5.6934578377443,999,0.001,0.004,225,2,"coherent_weak","none",TRUE,-2.22044604925031e-16,0.000970815888627463
"set03",0.853245048875863,0.265700691577513,0.0893321859737094,6.57707354739159,999,0.001,0.004,225,2,"coherent_weak","none",TRUE,1.11022302462516e-16,0.0219262709055518
"set04",0.420929749089822,0.164803394243678,0.121204353244031,2.1131778520402,999,0.085,0.255,225,2,"coherent_weak","none",FALSE,NA,NA
"set05",0.16775684187897,0.23040299471134,0.110863620590398,-0.565074029683955,999,0.756,0.756,225,2,"coherent_weak","none",FALSE,NA,NA
"set06",0.231023509588228,0.259303806788204,0.100347437581737,-0.281823810168948,999,0.613,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set07",0.131238510866126,0.135619847184858,0.109278609896788,-0.0400932654878247,999,0.52,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set08",0.131924772768071,0.179467257444711,0.098128648818455,-0.484491381967329,999,0.7,0.756,225,2,"coherent_weak","none",FALSE,NA,NA
"set09",0.259857625766892,0.281408320458901,0.101885228848628,-0.211519323610948,999,0.575,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set10",0.15629132203872,0.185475142415092,0.131656405526459,-0.221666543755878,999,0.599,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set11",0.300448978042532,0.232270065086493,0.115361432679041,0.59100265463699,999,0.31,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set12",0.294357980963337,0.279355884885028,0.0975459555425663,0.153795162442817,999,0.435,0.7356,225,2,"coherent_weak","none",FALSE,NA,NA
"set01",0.777847968399939,0.179222971529587,0.130484608088307,4.5877058270752,999,0.001,0.004,225,2,"coherent_weak","libsize",TRUE,0.000127458753882981,0.000127458753882981
"set02",0.813635922013633,0.213466677954445,0.107789583694837,5.56797070260821,999,0.001,0.004,225,2,"coherent_weak","libsize",TRUE,0.000970815888627463,0.000970815888627463
"set03",0.857861256316851,0.271283339237344,0.0864134425884182,6.78804014177911,999,0.001,0.004,225,2,"coherent_weak","libsize",TRUE,0.0219262709055518,0.0219262709055518
"set04",0.406039872560123,0.167628091818179,0.120940617097121,1.97131275219548,999,0.099,0.297,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set05",0.180849212613015,0.233298505203006,0.109592822311368,-0.478583282041734,999,0.689,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set06",0.230494268178095,0.272615889769818,0.0948926595606367,-0.443887038120233,999,0.664,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set07",0.120444757836912,0.140241055177988,0.105811198760602,-0.187090757622591,999,0.584,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set08",0.121144468165699,0.187797378911287,0.0976457108872289,-0.682599472521281,999,0.793,0.793,225,2,"coherent_weak","libsize",FALSE,NA,NA
