"tier","cohort","pathway","positive"
"pcs","GSE274557","HALLMARK_MYC_TARGETS_V1",0.846153846153846
"libsize","GSE282302","HALLMARK_MYC_TARGETS_V1",0.538461538461538
"none","GSE282302","HALLMARK_MYC_TARGETS_V1",0.333333333333333
"pcs","GSE282302","HALLMARK_MYC_TARGETS_V1",0.897435897435897
"libsize","GSE274557","HALLMARK_MYC_TARGETS_V2",0.538461538461538
"none","GSE274557","HALLMARK_MYC_TARGETS_V2",0.461538461538462
"pcs","GSE274557","HALLMARK_MYC_TARGETS_V2",0.461538461538462
"libsize","GSE282302","HALLMARK_MYC_TARGETS_V2",0.692307692307692
"none","GSE282302","HALLMARK_MYC_TARGETS_V2",0.307692307692308
"pcs","GSE282302","HALLMARK_MYC_TARGETS_V2",0.512820512820513
"libsize","GSE274557","HALLMARK_MYOGENESIS",1
"none","GSE274557","HALLMARK_MYOGENESIS",0.384615384615385
"pcs","GSE274557","HALLMARK_MYOGENESIS",0.461538461538462
"libsize","GSE282302","HALLMARK_MYOGENESIS",0.923076923076923
"none","GSE282302","HALLMARK_MYOGENESIS",0.564102564102564
"pcs","GSE282302","HALLMARK_MYOGENESIS",0.82051282051282
"libsize","GSE274557","HALLMARK_NOTCH_SIGNALING",0.307692307692308
"none","GSE274557","HALLMARK_NOTCH_SIGNALING",0.0769230769230769
"pcs","GSE274557","HALLMARK_NOTCH_SIGNALING",0
"libsize","GSE282302","HALLMARK_NOTCH_SIGNALING",0.205128205128205
"none","GSE282302","HALLMARK_NOTCH_SIGNALING",0.102564102564103
"pcs","GSE282302","HALLMARK_NOTCH_SIGNALING",0.0256410256410256
"libsize","GSE274557","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.307692307692308
"none","GSE274557","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.384615384615385
"pcs","GSE274557","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.846153846153846
"libsize","GSE282302","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.641025641025641
"none","GSE282302","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.461538461538462
"pcs","GSE282302","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.769230769230769
"libsize","GSE274557","HALLMARK_P53_PATHWAY",0.307692307692308
"none","GSE274557","HALLMARK_P53_PATHWAY",0.153846153846154
"pcs","GSE274557","HALLMARK_P53_PATHWAY",0.0769230769230769
"libsize","GSE282302","HALLMARK_P53_PATHWAY",0.564102564102564
"none","GSE282302","HALLMARK_P53_PATHWAY",0.41025641025641
"pcs","GSE282302","HALLMARK_P53_PATHWAY",0.333333333333333
"libsize","GSE274557","HALLMARK_PANCREAS_BETA_CELLS",0.0769230769230769
"none","GSE274557","HALLMARK_PANCREAS_BETA_CELLS",0
"pcs","GSE274557","HALLMARK_PANCREAS_BETA_CELLS",0.0769230769230769
"libsize","GSE282302","HALLMARK_PANCREAS_BETA_CELLS",0.82051282051282
"none","GSE282302","HALLMARK_PANCREAS_BETA_CELLS",0.666666666666667
"pcs","GSE282302","HALLMARK_PANCREAS_BETA_CELLS",0.871794871794872
"libsize","GSE274557","HALLMARK_PEROXISOME",0.153846153846154
"none","GSE274557","HALLMARK_PEROXISOME",0.153846153846154
"pcs","GSE274557","HALLMARK_PEROXISOME",0
"libsize","GSE282302","HALLMARK_PEROXISOME",0.512820512820513
"none","GSE282302","HALLMARK_PEROXISOME",0.358974358974359
"pcs","GSE282302","HALLMARK_PEROXISOME",0.128205128205128
"libsize","GSE274557","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0
"none","GSE274557","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0
"pcs","GSE274557","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0769230769230769
"libsize","GSE282302","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.307692307692308
"none","GSE282302","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.282051282051282
"pcs","GSE282302","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0512820512820513
"libsize","GSE274557","HALLMARK_PROTEIN_SECRETION",0.153846153846154
"none","GSE274557","HALLMARK_PROTEIN_SECRETION",0.0769230769230769
"pcs","GSE274557","HALLMARK_PROTEIN_SECRETION",0.0769230769230769
"libsize","GSE282302","HALLMARK_PROTEIN_SECRETION",0.282051282051282
"none","GSE282302","HALLMARK_PROTEIN_SECRETION",0.487179487179487
"pcs","GSE282302","HALLMARK_PROTEIN_SECRETION",0.0256410256410256
"libsize","GSE274557","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0769230769230769
"none","GSE274557","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0
"pcs","GSE274557","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0
"libsize","GSE282302","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.179487179487179
"none","GSE282302","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.128205128205128
"pcs","GSE282302","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.102564102564103
"libsize","GSE274557","HALLMARK_SPERMATOGENESIS",0.0769230769230769
"none","GSE274557","HALLMARK_SPERMATOGENESIS",0.230769230769231
"pcs","GSE274557","HALLMARK_SPERMATOGENESIS",0.0769230769230769
"libsize","GSE282302","HALLMARK_SPERMATOGENESIS",0.384615384615385
"none","GSE282302","HALLMARK_SPERMATOGENESIS",0.333333333333333
"pcs","GSE282302","HALLMARK_SPERMATOGENESIS",0.358974358974359
"libsize","GSE274557","HALLMARK_TGF_BETA_SIGNALING",0.307692307692308
"none","GSE274557","HALLMARK_TGF_BETA_SIGNALING",0
"pcs","GSE274557","HALLMARK_TGF_BETA_SIGNALING",0
"libsize","GSE282302","HALLMARK_TGF_BETA_SIGNALING",0.692307692307692
"none","GSE282302","HALLMARK_TGF_BETA_SIGNALING",0.435897435897436
"pcs","GSE282302","HALLMARK_TGF_BETA_SIGNALING",0.538461538461538
"libsize","GSE274557","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1
"none","GSE274557","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0769230769230769
"pcs","GSE274557","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1
"libsize","GSE282302","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.948717948717949
"none","GSE282302","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.641025641025641
"pcs","GSE282302","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.974358974358974
"libsize","GSE274557","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.307692307692308
"none","GSE274557","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0
"pcs","GSE274557","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.538461538461538
"libsize","GSE282302","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.153846153846154
"none","GSE282302","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0769230769230769
"pcs","GSE282302","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.333333333333333
"libsize","GSE274557","HALLMARK_UV_RESPONSE_DN",0.615384615384615
"none","GSE274557","HALLMARK_UV_RESPONSE_DN",0
"pcs","GSE274557","HALLMARK_UV_RESPONSE_DN",0.153846153846154
"libsize","GSE282302","HALLMARK_UV_RESPONSE_DN",0.871794871794872
"none","GSE282302","HALLMARK_UV_RESPONSE_DN",0.333333333333333
"pcs","GSE282302","HALLMARK_UV_RESPONSE_DN",0.538461538461538
"libsize","GSE274557","HALLMARK_UV_RESPONSE_UP",0
"none","GSE274557","HALLMARK_UV_RESPONSE_UP",0
"pcs","GSE274557","HALLMARK_UV_RESPONSE_UP",0
"libsize","GSE282302","HALLMARK_UV_RESPONSE_UP",0.538461538461538
"none","GSE282302","HALLMARK_UV_RESPONSE_UP",0.153846153846154
"pcs","GSE282302","HALLMARK_UV_RESPONSE_UP",0.538461538461538
"libsize","GSE274557","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0
"none","GSE274557","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0
"pcs","GSE274557","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0
"libsize","GSE282302","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.128205128205128
"none","GSE282302","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0256410256410256
"pcs","GSE282302","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0769230769230769
"libsize","GSE274557","HALLMARK_XENOBIOTIC_METABOLISM",0.615384615384615
"none","GSE274557","HALLMARK_XENOBIOTIC_METABOLISM",0.384615384615385
"pcs","GSE274557","HALLMARK_XENOBIOTIC_METABOLISM",0.461538461538462
"libsize","GSE282302","HALLMARK_XENOBIOTIC_METABOLISM",0.615384615384615
"none","GSE282302","HALLMARK_XENOBIOTIC_METABOLISM",0.230769230769231
"pcs","GSE282302","HALLMARK_XENOBIOTIC_METABOLISM",0.538461538461538
