"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"libsize","GSE282302","C3_D2","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.9565,TRUE
"none","GSE282302","C3_D2","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.55375,TRUE
"pcs","GSE282302","C3_D2","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.946,TRUE
"libsize","GSE282302","C3_D3","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.864875,FALSE
"none","GSE282302","C3_D3","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.63725,FALSE
"pcs","GSE282302","C3_D3","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.838,FALSE
"libsize","GSE282302","C3_D4","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.95975,TRUE
"none","GSE282302","C3_D4","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.67875,FALSE
"pcs","GSE282302","C3_D4","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.75875,FALSE
"libsize","GSE282302","C3_D5","HALLMARK_IL2_STAT5_SIGNALING",1,0.998125,TRUE
"none","GSE282302","C3_D5","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.9265,TRUE
"pcs","GSE282302","C3_D5","HALLMARK_IL2_STAT5_SIGNALING",1,0.996375,TRUE
"libsize","GSE282302","C3_D6","HALLMARK_IL2_STAT5_SIGNALING",1,0.9945,TRUE
"none","GSE282302","C3_D6","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.648,FALSE
"pcs","GSE282302","C3_D6","HALLMARK_IL2_STAT5_SIGNALING",0,0.82125,FALSE
"libsize","GSE282302","C3_D7","HALLMARK_IL2_STAT5_SIGNALING",1,0.997875,TRUE
"none","GSE282302","C3_D7","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.793125,TRUE
"pcs","GSE282302","C3_D7","HALLMARK_IL2_STAT5_SIGNALING",0,0.807625,FALSE
"libsize","GSE282302","C3_D8","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.983375,TRUE
"none","GSE282302","C3_D8","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.602625,TRUE
"pcs","GSE282302","C3_D8","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.988125,TRUE
"libsize","GSE282302","C3_D9","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.90175,FALSE
"none","GSE282302","C3_D9","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.525875,FALSE
"pcs","GSE282302","C3_D9","HALLMARK_IL2_STAT5_SIGNALING",1,0.986,TRUE
"libsize","GSE274557","Pt1","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.97725,TRUE
"none","GSE274557","Pt1","HALLMARK_IL2_STAT5_SIGNALING",0,0.30775,FALSE
"pcs","GSE274557","Pt1","HALLMARK_IL2_STAT5_SIGNALING",0,0.60875,FALSE
"libsize","GSE274557","Pt10","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.952,TRUE
"none","GSE274557","Pt10","HALLMARK_IL2_STAT5_SIGNALING",0,0.255375,FALSE
"pcs","GSE274557","Pt10","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.855875,FALSE
"libsize","GSE274557","Pt11","HALLMARK_IL2_STAT5_SIGNALING",0.5,0.815375,TRUE
"none","GSE274557","Pt11","HALLMARK_IL2_STAT5_SIGNALING",0,0.461,FALSE
"pcs","GSE274557","Pt11","HALLMARK_IL2_STAT5_SIGNALING",0,0.443625,FALSE
"libsize","GSE274557","Pt12","HALLMARK_IL2_STAT5_SIGNALING",0.75,0.983,TRUE
"none","GSE274557","Pt12","HALLMARK_IL2_STAT5_SIGNALING",0,0.115375,FALSE
"pcs","GSE274557","Pt12","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.793125,FALSE
"libsize","GSE274557","Pt13","HALLMARK_IL2_STAT5_SIGNALING",0.285714285714286,0.770428571428571,FALSE
"none","GSE274557","Pt13","HALLMARK_IL2_STAT5_SIGNALING",0,0.419928571428571,FALSE
"pcs","GSE274557","Pt13","HALLMARK_IL2_STAT5_SIGNALING",0.285714285714286,0.830857142857143,FALSE
"libsize","GSE274557","Pt2","HALLMARK_IL2_STAT5_SIGNALING",0.333333333333333,0.805833333333333,FALSE
"none","GSE274557","Pt2","HALLMARK_IL2_STAT5_SIGNALING",0.333333333333333,0.538166666666667,FALSE
"pcs","GSE274557","Pt2","HALLMARK_IL2_STAT5_SIGNALING",0,0.747166666666667,FALSE
"libsize","GSE274557","Pt3","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.617625,FALSE
"none","GSE274557","Pt3","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.435875,FALSE
"pcs","GSE274557","Pt3","HALLMARK_IL2_STAT5_SIGNALING",0,0.67775,FALSE
"libsize","GSE274557","Pt4","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.885875,FALSE
"none","GSE274557","Pt4","HALLMARK_IL2_STAT5_SIGNALING",0,0.2545,FALSE
"pcs","GSE274557","Pt4","HALLMARK_IL2_STAT5_SIGNALING",0,0.792875,FALSE
"libsize","GSE274557","Pt5","HALLMARK_IL2_STAT5_SIGNALING",0.666666666666667,0.726333333333333,TRUE
"none","GSE274557","Pt5","HALLMARK_IL2_STAT5_SIGNALING",0.333333333333333,0.4055,FALSE
"pcs","GSE274557","Pt5","HALLMARK_IL2_STAT5_SIGNALING",0.333333333333333,0.8975,FALSE
"libsize","GSE274557","Pt6","HALLMARK_IL2_STAT5_SIGNALING",0.166666666666667,0.708416666666667,FALSE
"none","GSE274557","Pt6","HALLMARK_IL2_STAT5_SIGNALING",0.333333333333333,0.76775,FALSE
"pcs","GSE274557","Pt6","HALLMARK_IL2_STAT5_SIGNALING",0,0.668333333333333,FALSE
"libsize","GSE274557","Pt7","HALLMARK_IL2_STAT5_SIGNALING",0,0.742,FALSE
"none","GSE274557","Pt7","HALLMARK_IL2_STAT5_SIGNALING",0,0.26,FALSE
"pcs","GSE274557","Pt7","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.920375,FALSE
"libsize","GSE274557","Pt8","HALLMARK_IL2_STAT5_SIGNALING",0.6,0.832,TRUE
"none","GSE274557","Pt8","HALLMARK_IL2_STAT5_SIGNALING",0,0.5774,FALSE
"pcs","GSE274557","Pt8","HALLMARK_IL2_STAT5_SIGNALING",0,0.5101,FALSE
"libsize","GSE274557","Pt9","HALLMARK_IL2_STAT5_SIGNALING",0,0.930875,FALSE
"none","GSE274557","Pt9","HALLMARK_IL2_STAT5_SIGNALING",0,0.42775,FALSE
"pcs","GSE274557","Pt9","HALLMARK_IL2_STAT5_SIGNALING",0.25,0.83875,FALSE
"libsize","GSE282302","C1_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.997,TRUE
"none","GSE282302","C1_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.359,FALSE
"pcs","GSE282302","C1_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.0885,FALSE
"libsize","GSE282302","C1_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.999,TRUE
"pcs","GSE282302","C1_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9875,TRUE
"libsize","GSE282302","C1_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998,TRUE
"none","GSE282302","C1_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.702,FALSE
"pcs","GSE282302","C1_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99925,TRUE
"libsize","GSE282302","C1_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.56,TRUE
"pcs","GSE282302","C1_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.9375,TRUE
"libsize","GSE282302","C1_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.92775,TRUE
"none","GSE282302","C1_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998,TRUE
"pcs","GSE282302","C1_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99775,TRUE
"libsize","GSE282302","C1_D14","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.666666666666667,0.979166666666667,TRUE
"none","GSE282302","C1_D14","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.682833333333333,FALSE
"pcs","GSE282302","C1_D14","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.917166666666667,FALSE
"libsize","GSE282302","C1_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.26,FALSE
"pcs","GSE282302","C1_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C1_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.0685,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.7835,FALSE
"libsize","GSE282302","C1_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.0475,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.98,TRUE
"libsize","GSE282302","C1_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.1515,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C1_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.9545,FALSE
"none","GSE282302","C1_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.8925,FALSE
"pcs","GSE282302","C1_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C1_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9825,TRUE
"pcs","GSE282302","C1_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C1_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C1_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.51125,FALSE
"pcs","GSE282302","C1_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.87575,FALSE
"libsize","GSE282302","C1_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.911,TRUE
"none","GSE282302","C1_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.549,TRUE
"pcs","GSE282302","C1_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9985,TRUE
"libsize","GSE282302","C2_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.994,TRUE
"none","GSE282302","C2_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.992,TRUE
"pcs","GSE282302","C2_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998,TRUE
"libsize","GSE282302","C2_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C2_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.960625,FALSE
"pcs","GSE282302","C2_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C2_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9973125,TRUE
"none","GSE282302","C2_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.4370625,FALSE
"pcs","GSE282302","C2_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.875,0.973625,TRUE
"libsize","GSE282302","C2_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9725,TRUE
"none","GSE282302","C2_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0,FALSE
"pcs","GSE282302","C2_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.7915,FALSE
"libsize","GSE282302","C2_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C2_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.393,FALSE
"pcs","GSE282302","C2_D13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.935,FALSE
"libsize","GSE282302","C2_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.8365,FALSE
"none","GSE282302","C2_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.918,FALSE
"pcs","GSE282302","C2_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C2_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C2_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.976,TRUE
"pcs","GSE282302","C2_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.999,TRUE
"libsize","GSE282302","C2_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998,TRUE
"none","GSE282302","C2_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9915,TRUE
"pcs","GSE282302","C2_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.4745,FALSE
"libsize","GSE282302","C2_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.98625,TRUE
"none","GSE282302","C2_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.551,TRUE
"pcs","GSE282302","C2_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.9885,TRUE
"libsize","GSE282302","C2_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.7505,FALSE
"none","GSE282302","C2_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.59575,TRUE
"pcs","GSE282302","C2_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99825,TRUE
"libsize","GSE282302","C2_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998,TRUE
"none","GSE282302","C2_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.41725,FALSE
"pcs","GSE282302","C2_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99275,TRUE
"libsize","GSE282302","C2_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.956875,TRUE
"none","GSE282302","C2_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.0335,FALSE
"pcs","GSE282302","C2_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.9895,TRUE
"libsize","GSE282302","C2_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.994583333333333,TRUE
"none","GSE282302","C2_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.897416666666667,TRUE
"pcs","GSE282302","C2_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.876166666666667,TRUE
"libsize","GSE282302","C3_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.94225,TRUE
"none","GSE282302","C3_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.55875,TRUE
"pcs","GSE282302","C3_D1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.91,TRUE
"libsize","GSE282302","C3_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.97375,TRUE
"none","GSE282302","C3_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.922875,TRUE
"pcs","GSE282302","C3_D10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998125,TRUE
"libsize","GSE282302","C3_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.999375,TRUE
"none","GSE282302","C3_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.777375,TRUE
"pcs","GSE282302","C3_D11","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.999125,TRUE
"libsize","GSE282302","C3_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.997875,TRUE
"none","GSE282302","C3_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.875,0.9778125,TRUE
"pcs","GSE282302","C3_D12","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C3_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.96375,TRUE
"none","GSE282302","C3_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.990875,TRUE
"pcs","GSE282302","C3_D2","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9965,TRUE
"libsize","GSE282302","C3_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.992,TRUE
"none","GSE282302","C3_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.8925,TRUE
"pcs","GSE282302","C3_D3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.83375,TRUE
"libsize","GSE282302","C3_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.999375,TRUE
"none","GSE282302","C3_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.886125,TRUE
"pcs","GSE282302","C3_D4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.98025,TRUE
"libsize","GSE282302","C3_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9985,TRUE
"none","GSE282302","C3_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.889,TRUE
"pcs","GSE282302","C3_D5","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"libsize","GSE282302","C3_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE282302","C3_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.62825,TRUE
"pcs","GSE282302","C3_D6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.979625,TRUE
"libsize","GSE282302","C3_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.986125,TRUE
"none","GSE282302","C3_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.776625,TRUE
"pcs","GSE282302","C3_D7","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.996875,TRUE
"libsize","GSE282302","C3_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.986375,TRUE
"none","GSE282302","C3_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.74175,TRUE
"pcs","GSE282302","C3_D8","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.998875,TRUE
"libsize","GSE282302","C3_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.92225,TRUE
"none","GSE282302","C3_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.569625,FALSE
"pcs","GSE282302","C3_D9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.978875,TRUE
"libsize","GSE274557","Pt1","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE274557","Pt1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.61375,TRUE
"pcs","GSE274557","Pt1","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.97975,TRUE
"libsize","GSE274557","Pt10","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99525,TRUE
"none","GSE274557","Pt10","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.64875,FALSE
"pcs","GSE274557","Pt10","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.90825,FALSE
"libsize","GSE274557","Pt11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.80125,TRUE
"none","GSE274557","Pt11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.704125,FALSE
"pcs","GSE274557","Pt11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.75,0.99475,TRUE
"libsize","GSE274557","Pt12","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.9995,TRUE
"none","GSE274557","Pt12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.62075,FALSE
"pcs","GSE274557","Pt12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.752375,TRUE
"libsize","GSE274557","Pt13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.428571428571429,0.900142857142857,FALSE
"none","GSE274557","Pt13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.5135,FALSE
"pcs","GSE274557","Pt13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.571428571428571,0.877857142857143,TRUE
"libsize","GSE274557","Pt2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.666666666666667,0.9295,TRUE
"none","GSE274557","Pt2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.333333333333333,0.395333333333333,FALSE
"pcs","GSE274557","Pt2","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.333333333333333,0.973166666666667,FALSE
"libsize","GSE274557","Pt3","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.994875,TRUE
"none","GSE274557","Pt3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.84925,FALSE
"pcs","GSE274557","Pt3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.864375,FALSE
"libsize","GSE274557","Pt4","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,0.99325,TRUE
"none","GSE274557","Pt4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.42525,FALSE
"pcs","GSE274557","Pt4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.875375,FALSE
"libsize","GSE274557","Pt5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.666666666666667,0.814,TRUE
"none","GSE274557","Pt5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.666666666666667,0.742333333333333,TRUE
"pcs","GSE274557","Pt5","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.666666666666667,0.989833333333333,TRUE
"libsize","GSE274557","Pt6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.931833333333333,TRUE
"none","GSE274557","Pt6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.166666666666667,0.667916666666667,FALSE
"pcs","GSE274557","Pt6","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.166666666666667,0.857833333333333,FALSE
"libsize","GSE274557","Pt7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.5,0.93375,TRUE
"none","GSE274557","Pt7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.582875,FALSE
"pcs","GSE274557","Pt7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.758,FALSE
"libsize","GSE274557","Pt8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.8,0.972,TRUE
"none","GSE274557","Pt8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.2,0.4268,FALSE
"pcs","GSE274557","Pt8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.4,0.895,FALSE
"libsize","GSE274557","Pt9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.806625,FALSE
"none","GSE274557","Pt9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0.24975,FALSE
"pcs","GSE274557","Pt9","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.90525,FALSE
"libsize","GSE282302","C1_D1","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D1","HALLMARK_INFLAMMATORY_RESPONSE",1,0.999,TRUE
"pcs","GSE282302","C1_D1","HALLMARK_INFLAMMATORY_RESPONSE",1,0.999,TRUE
"libsize","GSE282302","C1_D10","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D10","HALLMARK_INFLAMMATORY_RESPONSE",1,0.996,TRUE
"pcs","GSE282302","C1_D10","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"libsize","GSE282302","C1_D11","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D11","HALLMARK_INFLAMMATORY_RESPONSE",0,0.584,FALSE
"pcs","GSE282302","C1_D11","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"libsize","GSE282302","C1_D12","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D12","HALLMARK_INFLAMMATORY_RESPONSE",0.5,0.54075,TRUE
"pcs","GSE282302","C1_D12","HALLMARK_INFLAMMATORY_RESPONSE",1,0.99925,TRUE
"libsize","GSE282302","C1_D13","HALLMARK_INFLAMMATORY_RESPONSE",1,0.99,TRUE
"none","GSE282302","C1_D13","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"pcs","GSE282302","C1_D13","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"libsize","GSE282302","C1_D14","HALLMARK_INFLAMMATORY_RESPONSE",1,0.997333333333333,TRUE
"none","GSE282302","C1_D14","HALLMARK_INFLAMMATORY_RESPONSE",0,0.772,FALSE
"pcs","GSE282302","C1_D14","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"libsize","GSE282302","C1_D2","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D2","HALLMARK_INFLAMMATORY_RESPONSE",0,0.676,FALSE
"pcs","GSE282302","C1_D2","HALLMARK_INFLAMMATORY_RESPONSE",1,0.988,TRUE
"libsize","GSE282302","C1_D3","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D3","HALLMARK_INFLAMMATORY_RESPONSE",0,0.815,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9965,TRUE
"libsize","GSE282302","C1_D4","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D4","HALLMARK_INFLAMMATORY_RESPONSE",0,0.0605,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_INFLAMMATORY_RESPONSE",1,0.999,TRUE
"libsize","GSE282302","C1_D5","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D5","HALLMARK_INFLAMMATORY_RESPONSE",0,0.0185,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"libsize","GSE282302","C1_D6","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D6","HALLMARK_INFLAMMATORY_RESPONSE",0,0.965,FALSE
"pcs","GSE282302","C1_D6","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9965,TRUE
"libsize","GSE282302","C1_D7","HALLMARK_INFLAMMATORY_RESPONSE",1,0.9995,TRUE
"none","GSE282302","C1_D7","HALLMARK_INFLAMMATORY_RESPONSE",0,0.829,FALSE
