"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"libsize","GSE282302","C1_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C1_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D7","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D7","HALLMARK_ALLOGRAFT_REJECTION",0,0.9195,FALSE
"pcs","GSE282302","C1_D7","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D8","HALLMARK_ALLOGRAFT_REJECTION",0,0.49,FALSE
"pcs","GSE282302","C1_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.99825,TRUE
"libsize","GSE282302","C1_D9","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D9","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.96675,TRUE
"pcs","GSE282302","C1_D9","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"libsize","GSE282302","C2_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.998,TRUE
"none","GSE282302","C2_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C2_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.995875,TRUE
"pcs","GSE282302","C2_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D11","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.9254375,TRUE
"pcs","GSE282302","C2_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D12","HALLMARK_ALLOGRAFT_REJECTION",0,0.2515,FALSE
"pcs","GSE282302","C2_D12","HALLMARK_ALLOGRAFT_REJECTION",0,0.9385,FALSE
"libsize","GSE282302","C2_D13","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D13","HALLMARK_ALLOGRAFT_REJECTION",0,0.0415,FALSE
