"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"pcs","HALLMARK_APICAL_SURFACE",13,-0.313186813186813,0.297438422071029,0.608,0.546354166666667,0.943278943278943,FALSE,0.710292532657515,1
"libsize","HALLMARK_APOPTOSIS",13,0.054945054945055,0.858504294230873,0.845375,0.8417375,0.832944832944833,FALSE,0.933156841555297,0.886111524409397
"none","HALLMARK_APOPTOSIS",13,-0.0989010989010989,0.74786830359839,0.448833333333333,0.4008,0.621600621600622,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_APOPTOSIS",13,-0.549450549450549,0.0517706255591626,0.793125,0.7191875,0.127428127428127,FALSE,0.616725963648862,0.579218761036943
"libsize","HALLMARK_BILE_ACID_METABOLISM",13,-0.208791208791209,0.493621819356885,0.755875,0.805145833333333,0.724164724164724,FALSE,0.808017049195047,0.862100862100862
"none","HALLMARK_BILE_ACID_METABOLISM",13,-0.0989010989010989,0.74786830359839,0.655166666666667,0.62575,0.832944832944833,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_BILE_ACID_METABOLISM",13,-0.263736263736264,0.383936516650674,0.749125,0.677395833333333,0.832944832944833,FALSE,0.710292532657515,1
"libsize","HALLMARK_CHOLESTEROL_HOMEOSTASIS",13,0.395604395604396,0.180889163104941,0.6505,0.788205357142857,0.222222222222222,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_CHOLESTEROL_HOMEOSTASIS",13,0,1,0.902375,0.789232142857143,0.222222222222222,FALSE,1,0.793650793650794
"pcs","HALLMARK_CHOLESTEROL_HOMEOSTASIS",13,-0.115384615384615,0.70738987351426,0.9395,0.86775,0.354312354312354,FALSE,0.838150929667281,0.779634391528662
"libsize","HALLMARK_COAGULATION",13,-0.317579549638033,0.29034651209603,0.9995,0.987166666666667,0.0259758282139588,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_COAGULATION",13,0.120879120879121,0.694047327996686,0.5965,0.694348214285714,0.943278943278943,FALSE,0.95147537639111,0.982582232582233
"pcs","HALLMARK_COAGULATION",13,-0.153846153846154,0.615798868648882,0.969,0.9035125,0.354312354312354,FALSE,0.818146050368391,0.779634391528662
"libsize","HALLMARK_COMPLEMENT",13,-0.3259718258648,0.277071134958312,0.998625,0.8633125,0.0905022702670132,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_COMPLEMENT",13,0.236263736263736,0.437083543831181,0.638333333333333,0.452675,0.724164724164724,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_COMPLEMENT",13,0.148351648351648,0.628609417889416,0.818666666666667,0.8208125,1,FALSE,0.818146050368391,1
"libsize","HALLMARK_DNA_REPAIR",13,-0.21978021978022,0.470614851472142,0.523,0.5754375,0.435120435120435,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_DNA_REPAIR",13,-0.0274725274725275,0.929011729160351,0.89625,0.7571875,0.284382284382284,FALSE,0.97691446437774,0.888694638694639
"pcs","HALLMARK_DNA_REPAIR",13,-0.324175824175824,0.27988186889314,0.57175,0.53125,0.943278943278943,FALSE,0.710292532657515,1
"libsize","HALLMARK_E2F_TARGETS",13,-0.318681318681319,0.28858316144472,0.998833333333333,0.912479166666667,0.0932400932400932,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_E2F_TARGETS",13,-0.28021978021978,0.353763635633679,0.983625,0.590866071428571,0.170940170940171,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_E2F_TARGETS",13,-0.462350510892991,0.111662669378075,0.9995,0.9338125,0.0376487607896862,FALSE,0.697891683612969,0.579218761036943
"libsize","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,-0.11869143410338,0.699350298204678,0.9995,0.9937125,0.498018224932283,FALSE,0.896602946416254,0.79348261166443
"none","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,-0.247252747252747,0.415405119725538,0.311375,0.211735714285714,0.435120435120435,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,-0.570849278306732,0.0415958202747295,0.9995,0.990982142857143,0.0598016167298797,FALSE,0.616725963648862,0.579218761036943
"libsize","HALLMARK_ESTROGEN_RESPONSE_EARLY",13,-0.291208791208791,0.334385856197529,0.952875,0.9453125,0.832944832944833,FALSE,0.808017049195047,0.886111524409397
"none","HALLMARK_ESTROGEN_RESPONSE_EARLY",13,0.412087912087912,0.161751052772526,0.695333333333333,0.805202380952381,0.435120435120435,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_ESTROGEN_RESPONSE_EARLY",13,-0.054945054945055,0.858504294230873,0.675333333333333,0.6954375,0.621600621600622,FALSE,0.913302440671142,0.86333419666753
"libsize","HALLMARK_ESTROGEN_RESPONSE_LATE",13,-0.384615384615385,0.194412919977486,0.841375,0.852125,0.832944832944833,FALSE,0.808017049195047,0.886111524409397
"none","HALLMARK_ESTROGEN_RESPONSE_LATE",13,0.159340659340659,0.603087753131897,0.82175,0.783854166666667,0.832944832944833,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_ESTROGEN_RESPONSE_LATE",13,0.247252747252747,0.415405119725538,0.794875,0.828778571428571,0.724164724164724,FALSE,0.710292532657515,0.978600978600978
"libsize","HALLMARK_FATTY_ACID_METABOLISM",13,0.21978021978022,0.470614851472142,0.415833333333333,0.558321428571429,0.170940170940171,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_FATTY_ACID_METABOLISM",13,-0.148351648351648,0.628609417889416,0.771833333333333,0.6430625,0.127428127428127,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_FATTY_ACID_METABOLISM",13,0.252747252747253,0.404774071270947,0.957,0.8559375,0.523698523698524,FALSE,0.710292532657515,0.86333419666753
"libsize","HALLMARK_G2M_CHECKPOINT",13,-0.349381348404263,0.241950880106297,0.997,0.9829375,0.463599585900446,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_G2M_CHECKPOINT",13,-0.269230769230769,0.373733042281892,0.836,0.540116071428571,0.170940170940171,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_G2M_CHECKPOINT",13,-0.511475252675372,0.0740071156378634,0.9995,0.9845,0.0766091064077041,FALSE,0.616725963648862,0.579218761036943
"libsize","HALLMARK_GLYCOLYSIS",13,-0.549450549450549,0.0517706255591626,0.94225,0.7404625,0.0295260295260295,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_GLYCOLYSIS",13,-0.0164835164835165,0.957376175090185,0.8045,0.725775,0.284382284382284,FALSE,0.97691446437774,0.888694638694639
"pcs","HALLMARK_GLYCOLYSIS",13,-0.032967032967033,0.914856474487512,0.806,0.790354166666667,0.832944832944833,FALSE,0.952975494257825,1
"libsize","HALLMARK_HEDGEHOG_SIGNALING",13,-0.203296703296703,0.505314734296249,0.860166666666667,0.7863625,0.222222222222222,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_HEDGEHOG_SIGNALING",13,-0.456043956043956,0.117283065436145,0.600166666666667,0.571125,0.724164724164724,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_HEDGEHOG_SIGNALING",13,0.258241758241758,0.394284017397362,0.53625,0.582291666666667,0.354312354312354,FALSE,0.710292532657515,0.779634391528662
"libsize","HALLMARK_HEME_METABOLISM",13,-0.445054945054945,0.127523836138437,0.5955,0.514875,0.170940170940171,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_HEME_METABOLISM",13,0.10989010989011,0.720809799513861,0.166375,0.2400625,0.621600621600622,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_HEME_METABOLISM",13,-0.318681318681319,0.28858316144472,0.843375,0.7241125,0.523698523698524,FALSE,0.710292532657515,0.86333419666753
"libsize","HALLMARK_HYPOXIA",13,-0.280992801771793,0.352381052360037,0.996125,0.9988125,0.508901106212287,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_HYPOXIA",13,0.104395604395604,0.734303745287703,0.537125,0.588419642857143,0.943278943278943,FALSE,0.95147537639111,0.982582232582233
"pcs","HALLMARK_HYPOXIA",13,-0.0780019946479379,0.800046533748332,0.996625,0.997107142857143,0.940836049387608,FALSE,0.88763917464792,1
"libsize","HALLMARK_IL2_STAT5_SIGNALING",13,0.346153846153846,0.246625262510072,0.805833333333333,0.8236875,0.621600621600622,FALSE,0.808017049195047,0.862100862100862
"none","HALLMARK_IL2_STAT5_SIGNALING",13,0.164835164835165,0.590478988652005,0.4055,0.423839285714286,0.832944832944833,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_IL2_STAT5_SIGNALING",13,-0.373626373626374,0.208554059795209,0.747166666666667,0.811991071428571,0.832944832944833,FALSE,0.710292532657515,1
"libsize","HALLMARK_IL6_JAK_STAT3_SIGNALING",13,-0.055020684788073,0.85831129497406,0.99325,0.932791666666667,0.557643012520738,FALSE,0.933156841555297,0.820063253706968
"none","HALLMARK_IL6_JAK_STAT3_SIGNALING",13,0.0384615384615385,0.900724302338934,0.61375,0.6018125,0.832944832944833,FALSE,0.97691446437774,0.968540503424224
"pcs","HALLMARK_IL6_JAK_STAT3_SIGNALING",13,0.10989010989011,0.720809799513861,0.973166666666667,0.886428571428571,0.354312354312354,FALSE,0.838150929667281,0.779634391528662
"libsize","HALLMARK_INFLAMMATORY_RESPONSE",13,0.0939240854186711,0.760213368657779,0.967625,0.950589285714286,0.712880663755074,FALSE,0.927089473972902,0.862100862100862
"none","HALLMARK_INFLAMMATORY_RESPONSE",13,0.137362637362637,0.654516840294713,0.480625,0.427375,0.832944832944833,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_INFLAMMATORY_RESPONSE",13,-0.467032967032967,0.107609140399139,0.998125,0.984,0.127428127428127,FALSE,0.697891683612969,0.579218761036943
"libsize","HALLMARK_INTERFERON_ALPHA_RESPONSE",13,-0.132925771881735,0.665080861713403,0.9995,0.987958333333333,0.24816815422901,FALSE,0.892995253559258,0.710955710955711
"none","HALLMARK_INTERFERON_ALPHA_RESPONSE",13,0.0604395604395604,0.844502370644968,0.7315,0.752971428571429,0.523698523698524,FALSE,0.97691446437774,0.968540503424224
"pcs","HALLMARK_INTERFERON_ALPHA_RESPONSE",13,0.0173381441584872,0.955168183565944,0.9995,0.964116071428571,0.165816457027176,FALSE,0.974661411801984,0.610500610500611
"libsize","HALLMARK_INTERFERON_GAMMA_RESPONSE",13,-0.0597315721433636,0.846304297336252,0.9995,0.956229166666667,0.381435137849587,FALSE,0.933156841555297,0.79348261166443
"none","HALLMARK_INTERFERON_GAMMA_RESPONSE",13,-0.153846153846154,0.615798868648882,0.6525,0.53705,0.435120435120435,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_INTERFERON_GAMMA_RESPONSE",13,0.144088103171869,0.638616575379732,0.9995,0.998571428571429,0.358631820103184,FALSE,0.818146050368391,0.779634391528662
"libsize","HALLMARK_KRAS_SIGNALING_DN",13,-0.456043956043956,0.117283065436145,0.9245,0.846952380952381,0.724164724164724,FALSE,0.808017049195047,0.862100862100862
"none","HALLMARK_KRAS_SIGNALING_DN",13,-0.104395604395604,0.734303745287702,0.656625,0.69785119047619,0.621600621600622,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_KRAS_SIGNALING_DN",13,0.247252747252747,0.415405119725538,0.84,0.7266875,0.354312354312354,FALSE,0.710292532657515,0.779634391528662
"libsize","HALLMARK_KRAS_SIGNALING_UP",13,-0.0824175824175824,0.788950927847518,0.9235,0.893133333333333,0.724164724164724,FALSE,0.933156841555297,0.862100862100862
"none","HALLMARK_KRAS_SIGNALING_UP",13,-0.153846153846154,0.615798868648882,0.486,0.41875,0.170940170940171,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_KRAS_SIGNALING_UP",13,-0.126373626373626,0.680785475070949,0.922,0.9271875,0.621600621600622,FALSE,0.830226189110913,0.86333419666753
"libsize","HALLMARK_MITOTIC_SPINDLE",13,-0.269230769230769,0.373733042281892,0.979333333333333,0.9847875,0.724164724164724,FALSE,0.808017049195047,0.862100862100862
"none","HALLMARK_MITOTIC_SPINDLE",13,-0.131868131868132,0.667607576217515,0.3235,0.562473214285714,1,FALSE,0.95147537639111,1
"pcs","HALLMARK_MITOTIC_SPINDLE",13,-0.428571428571429,0.143971434687836,0.869666666666667,0.7695625,0.170940170940171,FALSE,0.710292532657515,0.610500610500611
"libsize","HALLMARK_MTORC1_SIGNALING",13,-0.203296703296703,0.505314734296249,0.7875,0.7294375,0.943278943278943,FALSE,0.808017049195047,0.943278943278943
"none","HALLMARK_MTORC1_SIGNALING",13,-0.587912087912088,0.0345860583421077,0.859,0.5911125,0.00310800310800311,FALSE,0.864651458552692,0.155400155400155
"pcs","HALLMARK_MTORC1_SIGNALING",13,-0.275103423940365,0.36298813596125,0.997666666666667,0.9794375,0.163749317682076,FALSE,0.710292532657515,0.610500610500611
"libsize","HALLMARK_MYC_TARGETS_V1",13,-0.368131868131868,0.215857180649381,0.922666666666667,0.855014285714286,0.284382284382284,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_MYC_TARGETS_V1",13,-0.417582417582418,0.155674753633475,0.880625,0.610458333333333,0.222222222222222,FALSE,0.95147537639111,0.793650793650794
"pcs","HALLMARK_MYC_TARGETS_V1",13,-0.759285450075407,0.00260909083298829,0.993125,0.947271428571429,0.12376565570832,FALSE,0.130454541649415,0.579218761036943
"libsize","HALLMARK_MYC_TARGETS_V2",13,-0.225274725274725,0.459305142725005,0.870625,0.793607142857143,0.127428127428127,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_MYC_TARGETS_V2",13,-0.021978021978022,0.943186241660807,0.875875,0.737133928571429,0.354312354312354,FALSE,0.97691446437774,0.94591398939225
"pcs","HALLMARK_MYC_TARGETS_V2",13,-0.241758241758242,0.426175519594509,0.847375,0.7925625,0.284382284382284,FALSE,0.710292532657515,0.779634391528662
"libsize","HALLMARK_MYOGENESIS",13,0.0027897286044109,0.992783337014813,0.9995,0.994020833333333,0.372452000336767,FALSE,0.992783337014813,0.79348261166443
