adjustment,neglog10_p_raw,neglog10_p_adjusted
Marker modules,0.0893755951107988,1.9208187539523751
Marker modules,0.49281902273975914,3.0
Marker modules,0.11435612816423608,0.8979094744881633
Marker modules,-0.0,2.0969100130080562
Marker modules,2.6989700043360187,1.7825160557860937
Marker modules,3.0,1.4034029043735399
Marker modules,1.4814860601221125,3.3010299956639813
Marker modules,0.9913998282380825,1.744727494896694
Marker modules,0.0023952125395456008,2.154901959985743
Marker modules,0.026872146400301365,3.3010299956639813
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,2.8239087409443187,1.083546051450075
Marker modules,0.44611697335612566,0.015472686656207449
Marker modules,3.0,1.133712660915805
Marker modules,0.5710557099644256,0.6777807052660807
Marker modules,0.8210230527068306,0.8569851997459049
Marker modules,0.29627884007298017,0.4621809049267259
Marker modules,3.3010299956639813,2.8239087409443187
Marker modules,0.5474469367710747,3.0
Marker modules,0.08039897621588903,0.04431224968649419
Marker modules,3.0,3.3010299956639813
Marker modules,1.4621809049267258,3.3010299956639813
Marker modules,0.20936303806829662,1.853871964321762
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,1.6777807052660807,3.3010299956639813
Marker modules,1.1804560644581312,1.4259687322722812
Marker modules,2.8239087409443187,0.13223797534979936
Marker modules,0.00021720154586423186,1.1396619934290064
Marker modules,3.3010299956639813,-0.0
Marker modules,0.042632191568472554,1.1739251972991736
Marker modules,3.3010299956639813,0.9411945133240932
Marker modules,0.026410376572743116,1.6478174818886375
Marker modules,0.30627305107635305,0.9318141382538383
Marker modules,0.006784279525862967,2.3979400086720375
Marker modules,0.014798141635428173,0.39685562737981767
Marker modules,0.15211900255462477,0.6090648928966209
Marker modules,3.3010299956639813,1.4202164033831899
